Entrevistado;T1;T2;T3;T4;T5;T6;T69;T7;E11;E12;E13;E14;E15;E21;E22;E23;E24;E31;E32;E33;E34;E41;E42;E43;E44;E51;E52;E53;E54;E55;E61;E62;E63;E64;E65;E71;E72;E73;E74;E81;E82;E83;E91;E92;E93;H10;H11;H13;H14;H15;H16;H17;H18;H19;H20;H21;H22;H23;H24;H25;H26;H27;H28;H29;H30;H31;H32;H33;H34;H35;H36;H37;H38;H39;H40;H41;H42;H43;H44;H45;H46;H47;H48;H49;H50;H51;H52;H53;H54;H55;H56;H57;H58;H59;H60;H61;H62
1;1;7;3;1;2;1;1;1;1;1;0;0;0;1;0;0;1;0;0;1;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;0;0;1;1;0;1;1;0;1;1;0;1;0
2;1;3;3;1;2;2;2;0;0;0;1;0;1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;1;0;1;0;1;1;0;0;0;1;0;0;1;0;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;1;1;0;1;1;1
3;1;2;1;0;3;3;1;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;0;1;0;0;1;1;1;0;0;1;1;1;1;1;1;1
4;1;3;1;1;2;2;1;1;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;0;1;0;1;1;1
5;1;7;1;1;1;1;2;0;1;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;1;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
6;0;8;4;0;3;3;2;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;1;1;1;1;1;0
7;1;1;2;1;1;1;2;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;1;1;1;1;1;0;1;0;1;0;0;1;1;0;1;1;1;1;1;0;0;1;1;0;1;0;1;0;1;1;0;0;1;0;1;0;1;0;1;1;1;1;0;0;1;1;0;0;1;1;1
8;1;5;3;1;1;2;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
9;1;3;2;0;3;3;2;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;1;1;1;1;1
10;1;3;1;1;1;1;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
